model,accuracy_mean,accuracy_std,roc_auc_mean,f1_mean
random_forest,0.8372544096415794,0.01239332058661089,0.8803354440010039,0.7721159749849839
logistic_regression,0.8293892411022534,0.01776034772881532,0.8723008072939441,0.7730145886413552
